,Word,Count
0,demonstration,3
1,flight,1053
2,u.s.,37
3,army,14
4,flyer,4
5,flown,30
6,orville,2
7,wright,2
8,nose-dived,3
9,ground,492
10,height,98
11,approximately,65
12,feet,310
13,killing,57
14,lt.,3
15,thomas,4
16,e.,4
17,selfridge,2
18,passenger,107
19,first,112
20,recorded,1
21,airplane,163
22,fatality,3
23,history,10
24,one,242
25,two,270
26,propellers,15
27,separated,52
28,tearing,4
29,loose,12
30,wires,13
31,bracing,1
32,rudder,58
33,causing,121
34,loss,333
35,control,504
36,aircraft,2468
37,suffered,45
38,broken,13
39,ribs,2
40,pelvis,1
41,leg,15
42,crushed,3
43,skull,2
44,died,35
45,short,302
46,time,148
47,later,91
48,dirigible,2
49,akron,1
50,exploded,99
51,offshore,17
52,altitude,598
53,ft.,327
54,test,27
55,fatal,8
56,accident,340
57,canada,8
58,occurred,67
59,american,22
60,barnstormer,1
61,john,15
62,m.,6
63,bryant,1
64,california,10
65,aviator,3
66,killed,322
67,airship,8
68,flew,192
69,thunderstorm,89
70,encountered,48
71,severe,126
72,downdraft,15
73,crashing,59
74,miles,439
75,north,77
76,helgoland,1
77,island,73
78,sea,222
79,ship,12
80,broke,156
81,car,13
82,immediately,38
83,sank,40
84,drowning,3
85,occupants,12
86,hydrogen,5
87,gas,12
88,vented,5
89,sucked,12
90,forward,37
91,engine,923
92,ignited,16
93,explode,5
94,burn,5
95,ft,74
96,..,14
97,crashed,3214
98,trees,270
99,attempting,433
100,land,522
101,shot,149
102,british,18
103,french,17
104,burned,156
105,near,129
106,neuwerk,1
107,lightning,40
108,black,13
109,cause,186
110,unknown,120
111,flames,167
112,home,10
113,defence,2
114,squadron,3
115,storm,49
116,anti-aircraft,14
117,fire,465
118,caught,128
119,struck,510
120,baltisea,2
121,hit,229
122,southern,12
123,coast,31
124,italy,5
125,midair,94
126,pilot,1198
127,leaped,1
128,plane,1863
129,death,9
130,began,70
131,go,22
132,dive,74
133,landing,732
134,tree,44
135,take,113
136,fog,328
137,due,312
138,structural,51
139,failure,878
140,followed,57
141,explosions,3
142,attributed,21
143,faulty,28
144,design,46
145,making,113
146,approach,940
147,le,8
148,bourget,5
149,airport,626
150,paris,14
151,field,136
152,experiencing,60
153,problems,41
154,malfunctioning,26
155,controls,53
156,collision,146
157,poor,357
158,visibility,178
159,beauvais,1
160,france,17
161,commercial,15
162,aviation,31
163,de,43
164,havilland,5
165,five,36
166,faman,1
167,seventeen,5
168,aboard,161
169,chinese,5
170,nationals,2
171,toulon,1
172,algiers,2
173,algeria,3
174,last,51
175,known,41
176,radio,77
177,contact,82
178,reported,127
179,nearly,11
180,fuel,307
181,battling,2
182,strong,57
183,winds,73
184,shortly,346
185,taking,534
186,witnesses,38
187,observed,45
188,puff,1
189,white,6
190,smoke,43
191,starvation,32
192,captain,255
193,stewart,2
194,seven,19
195,passengers,112
196,attempted,155
197,forced,79
198,weather,606
199,shenandoah,2
200,flying,298
201,ohio,4
202,abruptly,5
203,violent,17
204,atmosphericonditions,3
205,thunderstorms,57
206,powerful,2
207,air,277
208,currents,2
209,buffeted,1
210,severely,7
211,crew,810
212,unable,72
213,maintain,204
214,rising,41
215,rapidly,25
216,pressure,33
217,falling,11
218,hull,3
219,structure,15
220,overstressed,2
221,amidships,1
222,breaking,18
223,'s,697
224,external,8
225,cars,7
226,fell,39
227,free,10
228,carrying,74
229,commanding,1
230,officer,53
231,several,56
232,men,8
233,deaths,6
234,stern,1
235,section,28
236,came,64
237,nearby,14
238,fly,69
239,bow,2
240,balloon,2
241,en,397
242,route,449
243,related,26
